Cooperator,Project Title,Activity/Measurement,Date (yyyy-mm-dd),Notes
,Can We Reduce N and Improve ROI?,Field history -- 2017-2021,,
,Can We Reduce N and Improve ROI?,Previous crop,,soybeans
,Can We Reduce N and Improve ROI?,No. reps,,4 replications
,Can We Reduce N and Improve ROI?,Strip size,,"30 ft x 1,150 ft"
,Can We Reduce N and Improve ROI?,Treatments,,Trt 1 Typical rate: 151 lb N/ac;Trt 2 Reduced rate: 95 lb N/ac
,Can We Reduce N and Improve ROI?,Cover crop -- seeding,n/a,no cover crop
,Can We Reduce N and Improve ROI?,Cover crop -- termination,n/a,no cover crop
,Can We Reduce N and Improve ROI?,Fall Grazing -- begin,11/1/2021,"18 dry, pregnant cows; 5 dry, pregnant heifers; 1 beef steer; 1 bull"
,Can We Reduce N and Improve ROI?,Fall Grazing -- end,,
,Can We Reduce N and Improve ROI?,Spring Grazing -- begin,,
,Can We Reduce N and Improve ROI?,Spring Grazing -- end,,
,Can We Reduce N and Improve ROI?,Corn planting,5/11/2022,"34,000 seeds/ac in 30-in. row-widths"
,Can We Reduce N and Improve ROI?,Tillage,,
,Can We Reduce N and Improve ROI?,Fertilizer,4/27/2022,"Both trts: 70 lb N/ac as UAN(28) and ATS, applied with liquid toolbar"
,Can We Reduce N and Improve ROI?,Fertilizer,6/18/2022,Trt 1: 81 lb N/ac; Trt 2: 25 lb N/ac. Both as UAN(32) with N-Fixx
,Can We Reduce N and Improve ROI?,Weed control,5/11/2022,"Both trts: 2,4-D (1 pt/ac); glyphosate (24 oz/ac)"
,Can We Reduce N and Improve ROI?,Weed control,6/12/2022,Both trts: Balance Flex (4 oz/ac); HalexGT (3.6 pt/ac); Optima (8 oz/ac)
,Can We Reduce N and Improve ROI?,Pest control,,
,Can We Reduce N and Improve ROI?,Soil sampling,,
,Can We Reduce N and Improve ROI?,Corn harvest,9/29/2022,
,Can We Reduce N and Improve ROI?,Observation,9/30/2022,"Some visual difference on the yield map, though not as pronounced as I would've expected"
,Can We Reduce N and Improve ROI?,Observation,9/30/2022,"Dry dry dry year, somewhere around 18"" (will get official info from NWS records). No visible difference throughout growing season"
