Cooperator,Project Title,Activity/Measurement,Date (yyyy-mm-dd),Notes
,Can We Reduce N and Improve ROI?,Field history -- 2017-2021,,"no-till soybeans, strip-till corn with cereal rye cover crop each winter since 2017"
,Can We Reduce N and Improve ROI?,Previous crop,,soybeans
,Can We Reduce N and Improve ROI?,No. reps,,4 reps
,Can We Reduce N and Improve ROI?,Strip size,,15 ft x 1708 ft
,Can We Reduce N and Improve ROI?,Treatments,,Trt 1 Typical rate: 160 lb N/ac ;Trt 2 Reduced rate: 110 lb N/ac
,Can We Reduce N and Improve ROI?,Cover crop -- seeding,10/18/2021,"49# cereal rye and 2# winter camelina. Drilled in 7.5"" rows"
,Can We Reduce N and Improve ROI?,Cover crop -- termination,5/18/2022,Sequence 3.5 pt + dicamba .5 pt
,Can We Reduce N and Improve ROI?,Fall Grazing -- begin,,
,Can We Reduce N and Improve ROI?,Fall Grazing -- end,,
,Can We Reduce N and Improve ROI?,Spring Grazing -- begin,,
,Can We Reduce N and Improve ROI?,Spring Grazing -- end,,
,Can We Reduce N and Improve ROI?,Corn planting,5/7/2022,"34,680 seeds/ac in 30-in. rows. Split-planter trial with two hybrids. Hybrid 1 = DK56-65; Hybrid 2 = Pioneer P0688"
,Can We Reduce N and Improve ROI?,Tillage,,
,Can We Reduce N and Improve ROI?,Fertilizer,10/22/2021,"Both trts: 300# 4-21-36 plus 30# sulfur In strip till 7"" deep. Resulted in 12 lb N/ac"
,Can We Reduce N and Improve ROI?,Fertilizer,5/7/2022,"Both trts: 28 lb N/ac, 8 lb P/ac and 4 lb S/ac dribble band at planting 2 x 0"
,Can We Reduce N and Improve ROI?,Fertilizer,6/20/2022,Trt 1: Sidedress 120 lb N/ac as UAN(32) with coulter applicator; Trt 2: Sidedress 70 lb N/ac as UAN(32) with coulter applicator. $0.76/lb N
,Can We Reduce N and Improve ROI?,Weed control,6/17/2022,Lexar 3.5 pt and Powermax 16 oz
,Can We Reduce N and Improve ROI?,Weed control,,
,Can We Reduce N and Improve ROI?,Pest control,,
,Can We Reduce N and Improve ROI?,Soil sampling,,
,Can We Reduce N and Improve ROI?,Corn harvest,10/19/2022,
,Can We Reduce N and Improve ROI?,Observation,,
