trial_key,timing,trt,napp_lbac,n_type
abel_23,preplant,typical,38.5,chemical
abel_23,preplant,reduced,38.5,chemical
abel_23,sidedress,typical,116.5,chemical
abel_23,sidedress,reduced,81.5,chemical
amun1_23,fall,typical,22,chemical
amun1_23,fall,reduced,22,chemical
amun1_23,atplant,typical,33,chemical
amun1_23,atplant,reduced,33,chemical
amun1_23,sidedress,typical,99,chemical
amun1_23,sidedress,reduced,60,chemical
amun1_23,topdress,typical,53,chemical
amun1_23,topdress,reduced,53,chemical
amun2_23,fall,typical,15,chemical
amun2_23,fall,reduced,15,chemical
amun2_23,atplant,typical,33,chemical
amun2_23,atplant,reduced,33,chemical
amun2_23,sidedress,typical,99,chemical
amun2_23,sidedress,reduced,60,chemical
amun2_23,topdress,typical,44,chemical
amun2_23,topdress,reduced,44,chemical
ande_23,fall,typical,125,chemical
ande_23,fall,reduced,125,chemical
ande_23,topdress,typical,49.7,chemical
ande_23,topdress,reduced,0,NA
auke_23,atplant,typical,180,chemical
auke_23,atplant,reduced,180,chemical
auke_23,sidedress,typical,52,chemical
auke_23,sidedress,reduced,0,NA
bake1_23,preplant,typical,40,chemical
bake1_23,preplant,reduced,40,chemical
bake1_23,sidedress,typical,100,chemical
bake1_23,sidedress,reduced,80,chemical
bake2_23,preplant,typical,40,chemical
bake2_23,preplant,reduced,40,chemical
bake2_23,sidedress,typical,100,chemical
bake2_23,sidedress,reduced,80,chemical
benn_23,preplant,typical,28,chemical
benn_23,preplant,reduced,28,chemical
benn_23,sidedress,typical,132,chemical
benn_23,sidedress,reduced,90,chemical
borc_23,fall,typical,24,chemical
borc_23,fall,reduced,24,chemical
borc_23,atplant,typical,47,chemical
borc_23,atplant,reduced,47,chemical
borc_23,sidedress,typical,70,chemical
borc_23,sidedress,reduced,40,chemical
boye_23,preplant,typical,100,chemical
boye_23,preplant,reduced,100,chemical
boye_23,atplant,typical,30,chemical
boye_23,atplant,reduced,30,chemical
boye_23,sidedress,typical,50,chemical
boye_23,sidedress,reduced,0,NA
brag_23,winter,typical,24,organic
brag_23,winter,reduced,24,organic
brag_23,atplant,typical,48,chemical
brag_23,atplant,reduced,48,chemical
brag_23,sidedress,typical,85,chemical
brag_23,sidedress,reduced,42.5,chemical
deng_23,preplant,typical,80,chemical
deng_23,preplant,reduced,80,chemical
deng_23,sidedress,typical,50,chemical
deng_23,sidedress,reduced,30,chemical
deng_23,topdress,typical,40,chemical
deng_23,topdress,reduced,40,chemical
harv_23,winter,typical,12,chemical
harv_23,winter,reduced,12,chemical
harv_23,atplant,typical,3.33,chemical
harv_23,atplant,reduced,3.33,chemical
harv_23,sidedress,typical,125,chemical
harv_23,sidedress,reduced,100,chemical
hiem_23,preplant,typical,70,organic
hiem_23,preplant,reduced,70,organic
hiem_23,atplant,typical,5,organic
hiem_23,atplant,reduced,5,organic
hiem_23,sidedress,typical,35,chemical
hiem_23,sidedress,reduced,35,chemical
hiem_23,topdress,typical,42,chemical
hiem_23,topdress,reduced,0,NA
holli_23,fall,typical,130,organic
holli_23,fall,reduced,130,organic
holli_23,preplant,typical,28,chemical
holli_23,preplant,reduced,28,chemical
holli_23,atplant,typical,60,chemical
holli_23,atplant,reduced,20,chemical
krue_23,preplant,typical,75,chemical
krue_23,preplant,reduced,50,chemical
krue_23,atplant,typical,3,chemical
krue_23,atplant,reduced,3,chemical
krue_23,sidedress,typical,75,chemical
krue_23,sidedress,reduced,75,chemical
mcca1_23,winter,typical,50,organic
mcca1_23,winter,reduced,50,organic
mcca1_23,preplant,typical,10,chemical
mcca1_23,preplant,reduced,10,chemical
mcca1_23,sidedress,typical,60,chemical
mcca1_23,sidedress,reduced,60,chemical
mcca1_23,topdress,typical,50,chemical
mcca1_23,topdress,reduced,0,NA
mcca2_23,winter,typical,50,organic
mcca2_23,winter,reduced,50,organic
mcca2_23,preplant,typical,10,chemical
mcca2_23,preplant,reduced,10,chemical
mcca2_23,sidedress,typical,60,chemical
mcca2_23,sidedress,reduced,60,chemical
mcca2_23,topdress,typical,50,chemical
mcca2_23,topdress,reduced,0,NA
pete_23,preplant,typical,100,chemical
pete_23,preplant,reduced,100,chemical
pete_23,sidedress,typical,50,chemical
pete_23,sidedress,reduced,0,NA
prev_23,fall,typical,150,organic
prev_23,fall,reduced,150,organic
prev_23,sidedress,typical,53.1,chemical
prev_23,sidedress,reduced,0,NA
vanh_23,preplant,typical,60,chemical
vanh_23,preplant,reduced,60,chemical
vanh_23,sidedress,typical,60,chemical
vanh_23,sidedress,reduced,0,NA
veen_23,atplant,typical,60,chemical
veen_23,atplant,reduced,60,chemical
veen_23,sidedress,typical,100,chemical
veen_23,sidedress,reduced,80,chemical
